full_address,org_name,province_name,longitude,latitude
"Москва, улица Новый Арбат, 2",Surf Coffee,Москва,37.595384,55.750905
"Москва, улица Новый Арбат, 7А",Surf Coffee,Москва,37.593354,55.750038
"Москва, Трубная улица, 26, корп. 1",Surf Coffee Х Pipe,Москва,37.62148,55.76842
"Москва, Западный административный округ, район Раменки, жилой комплекс Мосфильмовский",Surf Coffee X Ogni,Москва,37.488493,55.70182
"Москва, Красноказарменная улица, 14А, корп. 5",Joe Pizza by Surf Coffee,Москва,37.700918,55.750317
"Москва, 2-я Звенигородская улица, 16",Surf Coffee,Москва,37.551214,55.760975
"Москва, Дубининская улица, 59А",Surf Coffee,Москва,37.631838,55.716818
"Москва, Амурская улица, 1А, корп. 5","Surf Coffee X Amur, кофейня",Москва,37.755167,55.806929
"Москва, улица Солянка",Surf Coffee X Pkrvk,Москва,37.645528,55.758382
"Москва, улица Ленинская Слобода, 26",Surf Coffee X Lilo,Москва,37.650505,55.707811
"Москва, Волоколамское шоссе, 1, стр. 1",Surf Coffee,Москва,37.500576,55.804213
"Москва, Милютинский переулок, 1",Кофейня Surf Coffee на метро Лубянка,Москва,37.627364,55.759258
"Москва, Измайловский проезд, 5А",Surf coffee х Pure,Москва,37.761456,55.793925
"Москва, Усачёва улица, 62",Surf Coffee,Москва,37.558769,55.722548
"Москва, Коровинское шоссе, 2",Surf Coffee X PitStop,Москва,37.540533,55.864404
"Москва, Пресненская набережная, 2","Surf Coffee X Afimall, кофейня",Москва,37.535637,55.746846
"Москва, Центральный административный округ, Пресненский район, Московский международный деловой центр Москва-Сити, многофункциональный комплекс Башня на Набережной","Surf Coffee X Noble, кофейня",Москва,37.534963,55.746051
"Москва, Нижняя Красносельская улица, 35",Surf Coffee,Москва,37.667833,55.773444
"Москва, Шелепихинская набережная, 34к2зд2",Surf Coffee,Москва,37.505004,55.760439
"Москва, Винницкая улица, 8, корп. 4",Surf Coffee,Москва,37.488071,55.699527
"Москва, улица Архитектора Щусева, 2, корп. 1",Surf Coffee,Москва,37.631191,55.697589
"Москва, 1-й Голутвинский переулок, 7",Surf Coffee,Москва,37.607026,55.734319
"Москва, улица Академика Павлова, 38, корп. 1",Surf Coffee X Noble,Москва,37.403441,55.742068
"Москва, Ленинградское шоссе, 16А",Surf Coffee,Москва,37.493111,55.821568
"Москва, Тверская улица, 4",Surf coffee X val disere,Москва,37.609092,55.756179
"Москва, проезд Воскресенские Ворота",Surf Coffee,Москва,37.617492,55.755099
"Москва, Орликов переулок, 8",Surf Coffee,Москва,37.645205,55.76916
"Москва, Ходынский бульвар, 4","Surf coffee × Aviapark, кофейня",Москва,37.527184,55.787918
"Москва, Весковский переулок, 3",Surf Coffee,Москва,37.594719,55.776487
"Москва, улица Сретенка, 23/25с1","Surf Coffee × Lil, точка по продаже кофе",Москва,37.628002,55.768537
"Москва, улица Авиаторов, 1",Surf Coffee X Sunday,Москва,37.386499,55.643363
"Москва, Ленинградское шоссе, 16А, стр. 8",Surf Coffee X Swallow,Москва,37.491449,55.821709
"Москва, улица Дмитрия Ульянова, 4к1",Surf Coffee,Москва,37.553406,55.691075
"Москва, Ленинградский проспект, 75, корп. 1",Surf Coffee,Москва,37.508176,55.802659
"Москва, Летниковская улица, 4, стр. 5",Surf Coffee,Москва,37.640228,55.725382
"Москва, Тагильская улица, 4А","Surf Coffee X Tgl, кофейня",Москва,37.748762,55.815792
"Москва, МКАД 66 км.",Surf Coffee,Москва,37.207941,55.7914
"Москва, Кировоградская улица, 13А",Surf Coffee,Москва,37.602894,55.609823
"Москва, Бауманская улица, 33/2с1",Surf Coffee X Lucky,Москва,37.674651,55.770487
